customer_name,salesman_id,product_id,quantity_sold,sale_date
Cristen Vanyashkin,fd77335b-3b82-4ee1-8e85-d4ebe20e1ae4,fb625971-9a5e-47d2-b968-c2abfe2809cf,6,12/29/2020
Eloisa Bodocs,7345ab0b-4018-4678-9ced-d5a27c2aec7a,b933ceeb-1474-4d9e-b909-85b963180a3d,11,12/7/2020
Lorrin Vannuccinii,e27eed05-a502-47b7-ba66-253da30a0114,8106a97d-a531-4194-b172-1cb873fab693,6,12/10/2020
Kelley Caesman,b252f7e0-a16a-4076-87d0-699376df3507,711f3db1-271d-454e-8c08-daed35178a1b,8,12/18/2020
Jammie Espadero,fd77335b-3b82-4ee1-8e85-d4ebe20e1ae4,f35d0fc7-cfab-41b8-a80a-0c324784a949,13,12/10/2020
Ogdon Rigolle,665d406d-b993-4ad5-9db6-4e1e3c3c130e,99b90a74-1977-4742-bf47-bb11369e854e,14,12/17/2020
Katlin Novis,665d406d-b993-4ad5-9db6-4e1e3c3c130e,7aeb0a5c-0dc4-4079-8dcc-520000ae216b,10,12/26/2020
Skylar Dummer,b7a412e9-88d0-456d-943c-d2afd4877599,dea3f60a-5a26-4fcb-bcb1-e9f568e0dd7c,20,12/19/2020
Lyn Sanderson,665d406d-b993-4ad5-9db6-4e1e3c3c130e,ef71d7a7-e34d-40f1-abfb-42af8eb24b75,4,12/2/2020
Ailsun Overstreet,674a0df7-78ce-4dd9-abbe-ad3672ed03dd,c9fea409-b5b9-4e12-a833-614c525b594d,19,12/6/2020
Marice Eke,674a0df7-78ce-4dd9-abbe-ad3672ed03dd,fe27df94-6c5b-4607-abff-c8ccdd05f580,6,12/30/2020
Sheree Stelljes,fd77335b-3b82-4ee1-8e85-d4ebe20e1ae4,fe59f70d-9be2-4422-be09-5070b3a430a1,10,12/1/2020
Carolann Rennie,674a0df7-78ce-4dd9-abbe-ad3672ed03dd,9e91ccde-5b98-45e7-a980-5ef6ff0686ac,8,12/2/2020
Whitaker Collaton,17e8b626-b90a-4a00-8d9e-2cc1c4887d1a,74817215-1e0f-41b6-875e-396a29f6df49,8,12/17/2020
Lyn Sanderson,17e8b626-b90a-4a00-8d9e-2cc1c4887d1a,5bac0b1d-7860-4cbe-9b95-0083a4a9f2fe,7,12/30/2020
Bard Oleszczak,fd77335b-3b82-4ee1-8e85-d4ebe20e1ae4,31cc73a0-2543-4109-92c7-d04704a18eae,6,12/22/2020
Liana Niles,665d406d-b993-4ad5-9db6-4e1e3c3c130e,b0df3865-cf67-4417-8a4c-13a9a7bd183f,5,12/19/2020
Conroy Anstiss,17e8b626-b90a-4a00-8d9e-2cc1c4887d1a,9edb75ff-30a9-4f7f-9ed9-455941b720f2,18,12/4/2020
